id;Тема / Topic;Вопрос (RU);Сұрақ (KZ);Question (EN)
1;Stereochemistry;Как изменение конфигурации хирального центра в Салсолине влияет на его 3D-форму и потенциальный докинг?;Салсолиндегі хиральді орталықтың конфигурациясын өзгерту оның 3D-пішініне және потенциалды докингке қалай әсер етеді?;How does changing the chiral center configuration in Salsoline affect its 3D shape and potential docking?
2;PASS Online;Почему Pa (вероятность активности) может быть низкой для совершенно новой химической структуры?;Неліктен мүлдем жаңа химиялық құрылым үшін Pa (белсенділік ықтималдығы) төмен болуы мүмкін?;Why might Pa (probability of activity) be low for a completely novel chemical structure?
3;Lipinski Rule;Объясните, почему некоторые эффективные лекарства (например, антибиотики) часто нарушают правило Липинского.;Неліктен кейбір тиімді дәрілер (мысалы, антибиотиктер) Липинский ережесін жиі бұзатынын түсіндіріңіз.;Explain why some effective drugs (e.g., antibiotics) often violate Lipinski's rule.
4;ADMET Analysis;Как высокое значение TPSA влияет на способность препарата проникать в центральную нервную систему?;Жоғары TPSA мәні препараттың орталық жүйке жүйесіне ену қабілетіне қалай әсер етеді?;How does a high TPSA value affect a drug's ability to penetrate the central nervous system?
5;BioSynth-EDU;Какие преимущества дает использование SDF-файлов по сравнению с плоскими 2D-рисунками молекул?;Жазық 2D молекула суреттерімен салыстырғанда SDF файлдарын пайдалану қандай артықшылықтар береді?;What advantages does using SDF files offer compared to flat 2D molecular drawings?
6;Metabolism;Какую роль играют изоферменты цитохрома P450 в прогнозировании лекарственных взаимодействий?;Дәрілік өзара әрекеттесулерді болжауда P450 цитохромының изоферменттері қандай рөл атқарады?;What role do cytochrome P450 isoenzymes play in predicting drug-drug interactions?
7;PASS vs Experiment;Если PASS предсказал активность Pa=0.8, а эксперимент её не подтвердил, какие могут быть причины?;Егер PASS Pa=0.8 белсенділігін болжаса, ал эксперимент оны растамаса, оның себептері қандай болуы мүмкін?;If PASS predicted Pa=0.8 activity but the experiment did not confirm it, what could be the reasons?
8;KZ Drugs;Опишите структурные особенности алкалоидов пиперидинового ряда на примере Рихлокаина.;Рихлокаин мысалында пиперидин қатарындағы алкалоидтардың құрылымдық ерекшеліктерін сипаттаңыз.;Describe the structural features of piperidine alkaloids using Richlocaine as an example.
9;Bioavailability;Почему низкая растворимость (Log S) является препятствием при разработке пероральных лекарств?;Неліктен төмен ерігіштік (Log S) пероральді дәрілерді жасауда маңызды кедергі болып табылады?;Why is low solubility (Log S) a hurdle in oral drug development?
10;Chemoinformatics;Каким образом SMILES-нотация позволяет кодировать циклы и разветвления в структуре молекулы?;SMILES-нотациясы молекула құрылымындағы циклдер мен тармақтарды қалай кодтауға мүмкіндік береді?;How does SMILES notation allow for coding cycles and branching in a molecular structure?
11;Toxicology;Какие дескрипторы в SwissADME могут указывать на потенциальную гепатотоксичность соединения?;SwissADME-дегі қай дескрипторлар қосылыстың потенциалды гепатоуыттылығын көрсетуі мүмкін?;Which descriptors in SwissADME might indicate potential hepatotoxicity of a compound?
12;KZ Drugs;Проанализируйте роль школы К.Д. Пралиева в развитии химии синтетических лекарственных веществ в Казахстане.;Қазақстандағы синтетикалық дәрілік заттар химиясын дамытудағы Қ.Д. Пралиев мектебінің рөлін талдаңыз.;Analyze the role of K.D. Praliyev's school in the development of synthetic drug chemistry in Kazakhstan.
13;Structure-Activity;Как введение двойной связи или новой функциональной группы может изменить прогноз PASS Online?;Қос байланысты немесе жаңа функционалды топты енгізу PASS Online болжамын қалай өзгертуі мүмкін?;How can the introduction of a double bond or a new functional group change a PASS Online prediction?
14;BOILED-Egg;Объясните физико-химический смысл попадания молекулы в белую зону модели BOILED-Egg.;Молекуланың BOILED-Egg моделінің ақ аймағына түсуінің физика-химиялық мағынасын түсіндіріңіз.;Explain the physicochemical meaning of a molecule falling into the white zone of the BOILED-Egg model.
15;Synthetic Accessibility;Почему молекулы с высоким баллом SA (например, 8-9) сложно синтезировать в лабораторных условиях?;Неліктен SA баллы жоғары (мысалы, 8-9) молекулаларды зертханалық жағдайда синтездеу қиын?;Why are molecules with a high SA score (e.g., 8-9) difficult to synthesize in laboratory settings?
16;P-glycoprotein;Какое значение для эффективности терапии имеет тот факт, что лекарство является субстратом P-gp?;Дәрінің P-gp субстраты болуы терапияның тиімділігі үшін қандай маңызға ие?;What is the significance for therapeutic efficacy if a drug is a P-gp substrate?
17;KZ Drugs;Каковы перспективы использования информационных технологий в переработке растительного сырья Казахстана?;Қазақстанның өсімдік шикізатын қайта өңдеуде ақпараттық технологияларды қолданудың қандай перспективалары бар?;What are the prospects for using information technology in the processing of Kazakhstani plant raw materials?
18;Protonation;Как протонирование атома азота в Рихлокаине влияет на его взаимодействие с клеточными мембранами?;Рихлокаиндегі азот атомының протондалуы оның жасушалық мембраналармен өзара әрекеттесуіне қалай әсер етеді?;How does the protonation of the nitrogen atom in Richlocaine affect its interaction with cell membranes?
19;Future Science;Как искусственный интеллект может ускорить открытие новых лекарств на основе отечественной флоры?;Жасанды интеллект отандық флора негізінде жаңа дәрілерді ашуды қалай тездете алады?;How can artificial intelligence accelerate the discovery of new drugs based on domestic flora?
